gene_id,sample6,sample7,sample15,sample16,sample19,sample20
g45618,0,0,0,0,0,1
g45619,0,0,0,0,1,0
g4562,5708,7440.545,5756.97,3992,4201.143,5154.999
g45620,0,0,1,1,0,0
g45621,0,0,0,0,0,3
g45622,0,0,0,0,0,1
g45623,248.061,58.922,2741.673,633.762,2251.056,1048.282
g45624,29.816,39.886,38.243,39.696,8.918,15.901
g45625,0,1.044,2.356,1,3.37,2.993
g45626,27.949,22.195,10.02,10.919,9.873,18.339
g45627,7.81,4.041,0,0,4.502,6.707
g45628,68.453,77.746,68.874,40.416,29.958,66.431
g45629,8.348,4.028,5.518,4.589,7.43,13.625
g4563,178.59,289.501,205.984,148.723,111.163,155.831
g45630,5.841,0,4.39,0,1.964,0
g45631,0,0,11.085,4.019,0,0
g45632,5.313,0,0,3.892,0,2.595
g45633,7.565,10.33,4.803,4.416,3.579,12.217
g45634,11.868,5.056,3.191,0,1.894,10.145
g45635,0,2.903,4.103,8.377,1.002,5.082
g45636,15.999,8.951,12,7,8,16
g45637,9,2.001,3.028,2,2,1
g45638,1,3,1.641,2.026,0.876,2
g45639,0,0,0,0.999,1.078,1
g4564,158.535,218.038,294.52,178.12,194.973,301.278
g45640,1,0,1,1,4.912,0
g45641,2,0,2,0,0,1.931
g45642,2.244,0,1.006,0,0,0
g45643,0,3,1,0,1,0
g45644,1,1,2,6,0,0
g45645,7.31,11.188,3,1,0,0
g45646,0,0,0,1,0,0
g45647,1,1,4,1,1,3
g45648,2,0,1,0,0,0
g45649,0,1.001,2.014,0,0,0
g4565,12986.872,14825.001,11363.022,8867.85,7834.852,11352.011
g45650,0,2,0,1,0,0
g45651,1,3,0,0,2,1
g45652,1,0,1,2,0,3.004
g45653,3,5,3,1,1,1
g45654,0,0,2,0,0,2
g45655,1.045,0,0,0,0,1
g45656,1,1,3,5,1,1.07
g45657,1,1.659,0,2.975,1.001,2
g45658,1,0,0,0,1,0
g45659,0,2,0,0,1,0
g4566,2231.26,3967.234,3344.914,2504.52,2905.943,5373.879
g45660,0,1,1,0,1,0
g45661,0,1,0,0,0,0
g45662,0,1,0,1,1,0
g45663,1,0,1,0,1,0
g45664,0,0,1,0,1,0
g45665,0,1,2,2,0,0
g45666,7,1,0,2,0,0
g45667,1,0,0,1.999,0,0
g45668,0,0,1,1,1,0
g45669,2,1,1,0,2,4
g4567,1891.068,1404.095,1558,989.502,1117.348,1310.175
g45670,2,2,0,1,1,2
g45671,0,0,1,1,1,1
g45672,0,0,1,0,0,1
g45673,0,0,0,1,0,2
g45674,0,0,0,0,0,0
g45675,0,0,0,3,0,1
g45676,0,0,0,0,1.001,0
g45677,2,0,0,0,0,0
g45678,2,1,1,0,0,0
g45679,0,0,2.021,0,0,0
g4568,40.152,43.827,29.909,23.143,13.174,30.781
g45680,1,0,0,0,1,0
g45681,1,1,1,0,1,0
g45682,0,2,3,1,0,0
g45683,1,4,0,0,0,0
g45684,0,3,1,0,0,2
g45685,1.998,1,1,3,0,0
g45686,1,2,5,0,2,0
g45687,3,1,2,1,0,1
g45688,2,2,3,1,0,0
g45689,3.239,0,0,0,1,1
