"","sample4","sample5","sample6","sample7","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g26345",176.308759137299,135.478966480261,235.01448749819,110.098842210703,212.034154778161,92.7697153169906,202.594460072481,107.230909074911,278.324021709756,104.718724297292,192.860344785429,179.506268336858
"g17686",15.0050007776425,14.0591380309705,17.7566501665299,28.8354110551841,13.9663215722142,119.487393328284,11.9760271964028,857.847272599288,10.7564839308118,29.3212428032419,8.63553782621325,277.237458875814
"g32616",3899.42457708984,2439.89950010206,4979.17360846165,2477.22394974081,3425.5577819849,2286.58794313319,3232.5293407624,2634.26293498486,5507.99205282132,2846.95305122905,3208.10230243822,1816.00508134121
"g683",130.355944255769,199.384139348309,68.9375829994691,168.643464656076,144.741878112038,296.86308901437,127.744290094964,316.524972570521,117.649042993254,245.739939684313,93.5516597839769,162.552898549488
"g1495",549.558153481155,1031.42949009029,536.877540329198,877.2955363456,702.125075403133,1187.45235605748,608.781382483811,1778.99953971268,821.526460215752,1320.85217580318,578.581034356288,810.769978654807
"g14890",413.57533393377,265.845519131079,350.954967997297,224.566686096433,251.393788299856,128.393285998715,356.286809092984,180.87141289744,344.879766031654,191.286203049721,426.019866093187,224.382835421072
"g1494",1553.9553930346,1256.37569858582,2478.61946148091,998.753782911375,1416.94680678101,1347.0162664027,2298.39921944298,1032.25899217896,1564.05999156461,1146.32096864103,2413.6328224266,1208.67554013484
"g3208",421.077834322592,593.040004215483,387.512777163682,508.551794973246,406.292991191686,851.997065471242,430.138976804135,753.200240851483,517.991929293156,713.483574878885,421.702097180081,573.422801631629
"g33911",236.328762247869,219.833794666084,326.931264830815,193.983674371238,267.899441067018,187.765903801589,267.46460738633,183.455290224547,349.249587628546,156.37996161729,362.692588700957,226.377349513704
"g30014",40.3259395899141,132.922759565539,35.5133003330598,71.6516274704573,67.292276666123,78.6687185888081,56.8861291829135,236.424775430226,44.0343560917609,163.361209903776,56.1309958703861,96.7339334926399
"g8508",204.443135595379,323.360174712322,177.566501665299,296.218313566891,227.27014194785,224.131632205849,175.648398880575,394.041292383709,213.112837879209,376.987407470252,164.075218698052,275.242944783182
"g1516",682.727535382732,1188.63621534569,807.405328160448,1027.58919396656,806.237654396002,910.62752555158,561.875275964566,1171.7883678427,709.591799310742,1167.26471350049,469.197555224253,901.520369869552
"g25777",36.5746893955035,28.118276061941,44.9138798329874,19.2236073701227,46.9776271065387,20.7804162310059,34.9300793228416,14.2113252990846,35.2947128979763,9.77374760108062,37.4206639135908,13.9615986484223
"g6227",89.0921921172521,148.260001053871,100.272847999228,149.419857285954,116.80923496761,207.804162310059,100.798228903057,198.958554187184,127.397106555552,157.776211274587,119.458273262617,162.552898549488
"g14166",1752.77165333836,1366.29259591886,2600.82699497997,993.510980901341,2035.27395275085,1323.26721928155,1958.08044661186,864.306965917054,1405.73799370797,1271.98343779778,1731.42533415576,1170.77977237484
"g16627",437.958460197439,830.767247284621,316.486176497563,455.249974537906,401.21432880179,436.388740851124,304.390691241905,994.792770935922,369.08185487598,907.5622772432,332.46820630921,596.359713696894
"g2861",110.661880735113,293.96379519302,114.895971665782,342.529731322186,289.483756224077,371.821018990498,116.766265164928,304.897524598542,152.607615768393,342.081166037822,208.692164133487,344.053680978977
"g8154",3.75125019441062,1.27810345736095,1.04450883332529,7.8642030150502,2.53933119494804,21.5225739535418,2.99400679910071,5.16775465421258,2.01684073702722,178.719956134046,1.43925630436888,31.912225482108
"g3980",125.666881512756,582.815176556595,48.0474063329633,312.820519931997,241.236463520064,217.452212703026,145.708330889568,1060.68164277713,175.12900399853,593.406104351323,204.37439522038,360.009793720031
"g9315",4.68906274301327,185.325001317338,36.5578091663851,39.321015075251,11.4269903772662,105.386396600101,2.99400679910071,134.361621009527,40.3368147405443,110.303722926481,14.3925630436888,743.953756551643
"g18140",0,33.2306898913848,0,15.7284060301004,0,8.9058926704311,0,47.8017305514664,6.72280245675738,40.4912400616197,0,22.9369120652651
"g6910",341.363767691366,497.182244913411,408.402953830188,747.973086764774,294.562418613973,719.892990859847,288.422654980035,294.562015290117,338.829243820572,812.617300546989,250.430596960184,724.008615625326
"g3685",187.562509720531,295.241898650381,179.65551933195,287.480310216835,265.36010987207,449.747579856771,199.600453273381,410.8364950099,261.8531556907,364.421160554577,208.692164133487,306.157913218974
"g3989",1.87562509720531,168.709656371646,3.13352649997587,90.87523484058,30.4719743393765,66.0520373056973,0,391.457415056603,24.5382289671645,185.701204420532,15.8318193480576,126.651644882116
"g23282",1281.05194139123,2658.45519131079,1712.99448665347,2334.7944951349,2014.95930319127,2472.8695314897,1272.4528896178,1967.62258459144,1757.34056219638,3359.37667545714,1660.90177524168,2525.0548412718
"g6591",2942.85577751513,71318.1729207413,146.23123666554,24222.6190866896,6943.80115258541,24786.5836172548,61.876140514748,115999.296784446,7111.38043875796,85034.396628716,231.720265003389,54844.1512621416
"g10866",38.4503144927088,15.3372414883315,47.002897499638,26.2140100501673,26.6629775469544,16.3274698957904,49.9001133183451,18.087141289744,61.1775023564922,18.151245544864,73.4020715228126,28.9204543431604
"g4674",4175.14146637902,9820.94696636158,4962.46146712845,7904.39783046045,5324.97751580604,4469.27380511134,3739.51449207679,6909.28797268222,4584.95127550854,8158.28674758772,4680.46150180758,7979.05362757332
