gene_id,sample1,sample2,sample3,sample4,sample6,sample8,sample9,sample10,sample11,sample12,sample13,sample15,sample17,sample19
g17334,4.012,4.02,6.021,5.018,4.052,12.077,7.026,4.024,3.005,10.027,8.031,6.02,24.683,4.029
g17335,11.796,8,7.304,14,10.001,12,15,5,9.028,13.206,9,11.002,39.109,11.012
g17336,9,9.335,13,12,10,6,11,1,3,5.182,4,6,13,3
g17337,6,18,0,11,0,8,0,0,0,0,0,8,0,5
g17338,2,8,1,6,2,7,4,4,1,1,3,3,20,3
g17339,2,1,4.002,1,6,6,3,5,4,4,4,0,10.002,1.009
g1734,146.49,125.553,145.374,136.838,130.44,180.977,180.528,115.397,118.056,110.571,87.223,91.378,329.189,83.141
g17340,10,8.008,0,7.34,0,7.971,0,0,0,0,0,11.955,0,4.524
g17341,2.752,3,1,7.01,5,4,1,1,4,2,4.062,2.038,7,2
g17342,3,4,1.957,3,6,6,4,4,2,2,1,3,4,4
g17343,0,0,4,1,3,2,6,2,4,4,0,4,14,5.243
g17344,3,1,2,4,4,5,4,0,1,3,2,4,5.79,2.001
g17345,1,4,0,1,1,1,1,3,3,0,5,0,3,0
g17347,1,1,0,0,0,0,0,1,1,1,0,1,585.645,0
g17348,16,20.109,31.806,19,21,28.165,25.897,19,17.591,31.002,21,22.162,64.932,12.657
g17349,10.864,10.05,18,11,10,12,4.186,11.331,5,13.001,4,2.14,27.612,9
g1735,115,169,207,215,134,151,153,160,142,166,121,190,423.384,116
g17350,10,8,13,8.999,8,12.54,14,8,7,11,6,5.031,24,4
g17351,6.488,5.583,17,5.056,0,11,11,15.067,10.506,9.001,6.128,5,29.292,9.479
g17352,4.043,5.203,11.996,7.137,4,13,1,3.933,5.004,8.617,5.186,8.932,14.714,8.047
g17353,0,0,0,0,0,34,16,9,0,9,13,0,0,0
g17354,1,3,11,3,2,1,5,2,1,0,0,5,10.001,2
g17355,2,1,7,2,3,2.002,7,2,2,4,3,5,9,3
g17356,4,4,5,3,1,1,4,1,3,6,2,2,5.013,3
g17357,15.159,21.723,35.34,2.283,8.824,13.136,8.918,9.57,5.53,8.829,11.068,9.582,15.604,15.561
g17358,274.764,280.79,396.386,317.191,286.294,299.243,325.266,311.224,259.159,410.362,201.895,305.106,843.983,220.009
g17359,0,2.504,2.568,6.765,1.198,2.546,4.693,6.585,3.76,7.962,1.202,3.849,3.996,2.569
g1736,2407.048,2922.219,3056.168,2285.055,2212.745,2769.755,2743.016,2204.979,2033.755,2690.266,1807.794,2143.508,6271.503,1502.095
g17360,19.269,23.403,15.442,33.718,12.353,20.149,18.643,24.408,14.201,22.632,8.144,12.365,87.612,9.146
g17361,47.058,84.776,95.225,89.748,101.076,91.159,99.87,47.061,47.287,87.958,68.651,82.269,190.236,54.902
g17362,92,131,171.535,142,152,195.213,170.07,152,138.006,208.609,138.88,173,473.945,115
g17363,4.593,6.184,7.91,7.698,12.462,6.791,9.112,11.261,5.64,10.091,3.476,12.69,17.266,8.119
